Problem 2.3

Time (s)	Velocity With Air Drag
11.02		12.004
11.03		12.005
11.04		12.006
11.05		12.007
11.06		12.008
11.07		12.009
11.08		12.01
11.09		12.011
11.1		12.0119
11.11		12.0129
11.12		12.0139
11.13		12.0149
11.14		12.0159
11.15		12.0169
11.16		12.0178
11.17		12.0188
11.18		12.0198
11.19		12.0208
11.2		12.0217
11.21		12.0227
11.22		12.0237
11.23		12.0247
11.24		12.0256
11.25		12.0266
11.26		12.0276
11.27		12.0286
11.28		12.0295
11.29		12.0305
11.3		12.0315
11.31		12.0324
11.32		12.0334
11.33		12.0344
11.34		12.0353
11.35		12.0363
11.36		12.0372
11.37		12.0382
11.38		12.0392
11.39		12.0401
11.4		12.0411
11.41		12.042
11.42		12.043
11.43		12.0439
11.44		12.0449
11.45		12.0459
11.46		12.0468
11.47		12.0478
11.48		12.0487
11.49		12.0497
11.5		12.0506
11.51		12.0515
11.52		12.0525
11.53		12.0534
11.54		12.0544
11.55		12.0553
11.56		12.0563
11.57		12.0572
11.58		12.0581
11.59		12.0591
11.6		12.06
11.61		12.061
11.62		12.0619
11.63		12.0628
11.64		12.0638
11.65		12.0647
11.66		12.0656
11.67		12.0666
11.68		12.0675
11.69		12.0684
11.7		12.0694
11.71		12.0703
11.72		12.0712
11.73		12.0721
11.74		12.0731
11.75		12.074
11.76		12.0749
11.77		12.0758
11.78		12.0768
11.79		12.0777
11.8		12.0786
11.81		12.0795
11.82		12.0804
11.83		12.0814
11.84		12.0823
11.85		12.0832
11.86		12.0841
11.87		12.085
11.88		12.0859
11.89		12.0868
11.9		12.0878
11.91		12.0887
11.92		12.0896
11.93		12.0905
11.94		12.0914
11.95		12.0923
11.96		12.0932
11.97		12.0941
11.98		12.095
11.99		12.0959
12		12.0968
12.01		12.0977
12.02		12.0986
12.03		12.0995
12.04		12.1004
12.05		12.1013
12.06		12.1022
12.07		12.1031
12.08		12.104
12.09		12.1049
12.1		12.1058
12.11		12.1067
12.12		12.1076
12.13		12.1085
12.14		12.1093
12.15		12.1102
12.16		12.1111
12.17		12.112
12.18		12.1129
12.19		12.1138
12.2		12.1147
12.21		12.1156
12.22		12.1164
12.23		12.1173
12.24		12.1182
12.25		12.1191
12.26		12.12
12.27		12.1208
12.28		12.1217
12.29		12.1226
12.3		12.1235
12.31		12.1243
12.32		12.1252
12.33		12.1261
12.34		12.127
12.35		12.1278
12.36		12.1287
12.37		12.1296
12.38		12.1304
12.39		12.1313
12.4		12.1322
12.41		12.133
12.42		12.1339
12.43		12.1348
12.44		12.1356
12.45		12.1365
12.46		12.1374
12.47		12.1382
12.48		12.1391
12.49		12.1399
12.5		12.1408
12.51		12.1417
12.52		12.1425
12.53		12.1434
12.54		12.1442
12.55		12.1451
12.56		12.1459
12.57		12.1468
12.58		12.1476
12.59		12.1485
12.6		12.1493
12.61		12.1502
12.62		12.151
12.63		12.1519
12.64		12.1527
12.65		12.1536
12.66		12.1544
12.67		12.1553
12.68		12.1561
12.69		12.1569
12.7		12.1578
12.71		12.1586
12.72		12.1595
12.73		12.1603
12.74		12.1611
12.75		12.162
12.76		12.1628
12.77		12.1637
12.78		12.1645
12.79		12.1653
12.8		12.1662
12.81		12.167
12.82		12.1678
12.83		12.1686
12.84		12.1695
12.85		12.1703
12.86		12.1711
