Problem 2.3

Time (s)	Velocity with Water Drag
1.259		0.660732
1.26		0.660674
1.261		0.660615
1.262		0.660557
1.263		0.660499
1.264		0.660442
1.265		0.660384
1.266		0.660327
1.267		0.66027
1.268		0.660213
1.269		0.660157
1.27		0.660101
1.271		0.660045
1.272		0.659989
1.273		0.659933
1.274		0.659878
1.275		0.659823
1.276		0.659768
1.277		0.659713
1.278		0.659659
1.279		0.659605
1.28		0.659551
1.281		0.659497
1.282		0.659443
1.283		0.65939
1.284		0.659337
1.285		0.659284
1.286		0.659231
1.287		0.659178
1.288		0.659126
1.289		0.659074
1.29		0.659022
1.291		0.65897
1.292		0.658919
1.293		0.658867
1.294		0.658816
1.295		0.658765
1.296		0.658715
1.297		0.658664
1.298		0.658614
1.299		0.658564
1.3		0.658514
1.301		0.658464
1.302		0.658415
1.303		0.658366
1.304		0.658317
1.305		0.658268
1.306		0.658219
1.307		0.65817
1.308		0.658122
1.309		0.658074
1.31		0.658026
1.311		0.657978
1.312		0.657931
1.313		0.657883
1.314		0.657836
1.315		0.657789
1.316		0.657743
1.317		0.657696
1.318		0.65765
1.319		0.657603
1.32		0.657557
1.321		0.657511
1.322		0.657466
1.323		0.65742
1.324		0.657375
1.325		0.65733
1.326		0.657285
1.327		0.65724
1.328		0.657196
1.329		0.657151
1.33		0.657107
1.331		0.657063
1.332		0.657019
1.333		0.656975
1.334		0.656932
1.335		0.656888
1.336		0.656845
1.337		0.656802
1.338		0.656759
1.339		0.656717
1.34		0.656674
1.341		0.656632
1.342		0.65659
1.343		0.656548
1.344		0.656506
1.345		0.656464
1.346		0.656423
1.347		0.656382
1.348		0.65634
1.349		0.656299
1.35		0.656259
1.351		0.656218
1.352		0.656178
1.353		0.656137
1.354		0.656097
1.355		0.656057
1.356		0.656017
1.357		0.655977
1.358		0.655938
1.359		0.655899
1.36		0.655859
1.361		0.65582
1.362		0.655781
1.363		0.655743
1.364		0.655704
1.365		0.655666
1.366		0.655627
1.367		0.655589
1.368		0.655551
1.369		0.655513
1.37		0.655476
1.371		0.655438
1.372		0.655401
1.373		0.655364
1.374		0.655326
1.375		0.65529
1.376		0.655253
1.377		0.655216
1.378		0.65518
1.379		0.655143
1.38		0.655107
1.381		0.655071
1.382		0.655035
1.383		0.654999
1.384		0.654964
1.385		0.654928
1.386		0.654893
1.387		0.654858
1.388		0.654823
1.389		0.654788
1.39		0.654753
1.391		0.654718
1.392		0.654684
1.393		0.654649
1.394		0.654615
1.395		0.654581
1.396		0.654547
1.397		0.654513
1.398		0.65448
1.399		0.654446
1.4		0.654413
1.401		0.654379
1.402		0.654346
1.403		0.654313
1.404		0.65428
1.405		0.654248
1.406		0.654215
1.407		0.654183
1.408		0.65415
1.409		0.654118
1.41		0.654086
1.411		0.654054
1.412		0.654022
1.413		0.65399
1.414		0.653959
1.415		0.653927
1.416		0.653896
1.417		0.653865
1.418		0.653834
1.419		0.653803
1.42		0.653772
1.421		0.653741
1.422		0.653711
1.423		0.65368
1.424		0.65365
1.425		0.65362
1.426		0.653589
1.427		0.653559
1.428		0.65353
1.429		0.6535
1.43		0.65347
1.431		0.653441
1.432		0.653411
1.433		0.653382
1.434		0.653353
1.435		0.653324
1.436		0.653295
1.437		0.653266
1.438		0.653237
1.439		0.653209
1.44		0.65318
1.441		0.653152
1.442		0.653124
1.443		0.653096
1.444		0.653068
1.445		0.65304
1.446		0.653012
1.447		0.652984
1.448		0.652957
1.449		0.652929
1.45		0.652902
1.451		0.652875
1.452		0.652848
1.453		0.652821
1.454		0.652794
1.455		0.652767
1.456		0.65274
1.457		0.652714
1.458		0.652687
1.459		0.652661
1.46		0.652634
1.461		0.652608
1.462		0.652582
1.463		0.652556
1.464		0.65253
1.465		0.652505
1.466		0.652479
1.467		0.652453
1.468		0.652428
1.469		0.652403
1.47		0.652377
1.471		0.652352
1.472		0.652327
1.473		0.652302
1.474		0.652277
1.475		0.652253
1.476		0.652228
1.477		0.652204
1.478		0.652179
1.479		0.652155
1.48		0.65213
1.481		0.652106
1.482		0.652082
1.483		0.652058
1.484		0.652034
1.485		0.652011
1.486		0.651987
1.487		0.651963
1.488		0.65194
1.489		0.651917
1.49		0.651893
1.491		0.65187
1.492		0.651847
1.493		0.651824
1.494		0.651801
1.495		0.651778
1.496		0.651755
1.497		0.651733
1.498		0.65171
1.499		0.651688
1.5		0.651665
1.501		0.651643
1.502		0.651621
1.503		0.651599
1.504		0.651577
1.505		0.651555
1.506		0.651533
1.507		0.651511
1.508		0.65149
1.509		0.651468
1.51		0.651446
1.511		0.651425
1.512		0.651404
1.513		0.651382
1.514		0.651361
1.515		0.65134
1.516		0.651319
1.517		0.651298
1.518		0.651277
1.519		0.651257
1.52		0.651236
1.521		0.651215
1.522		0.651195
1.523		0.651175
1.524		0.651154
1.525		0.651134
1.526		0.651114
1.527		0.651094
1.528		0.651074
1.529		0.651054
1.53		0.651034
1.531		0.651014
1.532		0.650994
1.533		0.650975
1.534		0.650955
1.535		0.650936
1.536		0.650917
1.537		0.650897
1.538		0.650878
1.539		0.650859
